,Xt
0,-1.4225579944411115
1,-1.4409769888885604
2,-1.4409769888885604
3,-1.385720005546214
4,-1.3949295027699384
5,-1.3765105083224896
6,-1.2844155360852456
7,-1.2659965416377967
8,-1.2752060388615212
9,-1.2567870444140723
10,-1.3304630222038676
11,-1.3949295027699384
12,-1.4409769888885604
13,-1.4593959833360093
14,-1.4501864861122848
15,-1.4593959833360093
16,-1.4593959833360093
17,-1.4501864861122848
18,-1.4041389999936629
19,-1.3488820166513165
20,-1.3580915138750407
21,-1.385720005546214
22,-1.4225579944411115
23,-1.4041389999936629
24,-1.413348497217387
25,-1.4225579944411115
26,-1.3765105083224896
27,-1.3580915138750407
28,-1.3580915138750407
29,-1.3765105083224896
30,-1.3949295027699384
31,-1.413348497217387
32,-1.413348497217387
33,-1.413348497217387
34,-1.4225579944411115
35,-1.4225579944411115
36,-1.4225579944411115
37,-1.3949295027699384
38,-1.3765105083224896
39,-1.3507239160960613
40,-1.3286211227591227
41,-1.2438937483008583
42,-1.295466932753715
43,-1.2291585527428992
44,-1.2659965416377967
45,-1.2696803405272865
46,-1.3801943072119793
47,-1.402297100548918
48,-1.36914291054351
49,-1.3580915138750407
50,-1.3359887205381022
51,-1.3470401172065716
52,-1.3617753127645305
53,-1.3433563183170818
54,-1.2549451449693274
55,-1.324937323869633
56,-1.3470401172065716
57,-1.2844155360852456
58,-1.232842351632389
59,-1.2107395582954503
60,-1.1812691671795323
61,-1.155482574953104
62,-1.1739015694005528
63,-1.0486524071579009
64,-1.0965417927212677
65,-1.1112769882792268
66,-1.0670714016053497
67,-1.0339172115999418
68,-0.9252451443599939
69,-0.9344546415837183
70,-0.9860278260365749
71,-0.9602412338101466
72,-0.8607786637939231
73,-0.7410551998855058
74,-0.7226362054380571
75,-0.630541233200813
76,-0.5937032443059155
77,-0.8147311776753011
78,-0.8331501721227499
79,-0.6397507304245375
80,-0.7871026860041279
81,-0.8331501721227499
82,-0.8423596693464743
83,-0.9491898371416774
84,-1.2696803405272865
85,-1.3138859272011636
86,-1.3286211227591227
87,-1.3102021283116738
88,-1.3470401172065716
89,-1.324937323869633
90,-1.199688161626981
91,-1.015498217152493
92,-0.9749764293681057
93,-0.8331501721227499
94,-0.7502646971092303
95,-0.5568652554110178
96,-0.5384462609635691
97,-0.5384462609635691
98,-0.3634658137128054
99,-0.34504681926535663
100,-0.2713708414755614
101,-0.2805803386992858
102,-0.23453285258066378
103,-0.3266278248179078
104,-0.14243788034341978
105,0.03254256690734386
106,0.004914075236170657
107,0.3364559752902491
108,0.2443610030530051
109,0.014123572459895059
110,0.12463753914458787
111,0.06017105857851707
112,0.07859005302596588
113,0.3180369808428003
114,0.3732939641851467
115,0.3180369808428003
