provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Lampung;Jahe;2019;1011576;1363150;12900;1011576;505788
Maluku;Jahe;2015;544376;632077;12800;544376;272188
Maluku;Jahe;2016;497063;376787;10900;497063;248532
Maluku;Jahe;2017;168321;226435;15300;168321;84161
Maluku;Jahe;2018;47239;89911;14200;47239;23620
Maluku;Jahe;2019;52867;89721;11000;52867;26434
Maluku Utara;Jahe;2015;13419;39875;15200;13419;6710
Maluku Utara;Jahe;2016;16906;29719;12000;16906;8453
Maluku Utara;Jahe;2017;60535;226435;12500;60535;30268
Maluku Utara;Jahe;2018;135512;768278;15000;135512;67756
Maluku Utara;Jahe;2019;635682;3083435;12100;635682;317841
Nusa Tenggara Barat;Jahe;2015;53495;470850;11700;53495;26748
Nusa Tenggara Barat;Jahe;2016;60077;388833;11900;60077;30039
Nusa Tenggara Barat;Jahe;2017;171821;226435;13400;171821;85911
Nusa Tenggara Barat;Jahe;2018;280465;1258027;12000;280465;140233
Nusa Tenggara Barat;Jahe;2019;158808;698065;10800;158808;79404
Nusa Tenggara Timur;Jahe;2015;1361421;1978063;11900;1361421;680711
Nusa Tenggara Timur;Jahe;2016;831428;2060222;11100;831428;415714
Nusa Tenggara Timur;Jahe;2017;636393;226435;13500;636393;318197
Nusa Tenggara Timur;Jahe;2018;871646;1062736;12300;871646;435823
Nusa Tenggara Timur;Jahe;2019;916259;1159878;12900;916259;458130
Papua;Jahe;2015;8091;28458;15100;8091;4046
Papua;Jahe;2016;24351;74871;13100;24351;12176
Papua;Jahe;2017;5021;226435;13900;5021;2511
Papua;Jahe;2018;10650;13661;14600;10650;5325
Papua;Jahe;2019;8240;6357;15100;8240;4120
Papua Barat;Jahe;2015;5126;8639;10500;5126;2563
Papua Barat;Jahe;2016;13039;22958;12100;13039;6520
Papua Barat;Jahe;2017;6217;226435;11500;6217;3109
Papua Barat;Jahe;2018;2444;1550;10600;2444;1222
Papua Barat;Jahe;2019;9155;11031;12000;9155;4578
Riau;Jahe;2015;321564;910946;11300;321564;160782
Riau;Jahe;2016;269396;1023092;12000;269396;134698
Riau;Jahe;2017;286070;226435;14600;286070;143035
Riau;Jahe;2018;281259;918147;12800;281259;140630
Riau;Jahe;2019;617413;1091840;11400;617413;308707
Sulawesi Barat;Jahe;2015;44003;203631;10700;44003;22002
Sulawesi Barat;Jahe;2016;112382;286038;13300;112382;56191
Sulawesi Barat;Jahe;2017;53281;226435;13000;53281;26641
Sulawesi Barat;Jahe;2018;404145;2813968;15400;404145;202073
Sulawesi Barat;Jahe;2019;255231;1788081;12800;255231;127616
Sulawesi Selatan;Jahe;2015;15382729;44312610;14700;15382729;7691365
Sulawesi Selatan;Jahe;2016;7777881;19788986;15200;7777881;3888941
Sulawesi Selatan;Jahe;2017;3921274;226435;11500;3921274;1960637
Sulawesi Selatan;Jahe;2018;3470204;10489584;14600;3470204;1735102
Sulawesi Selatan;Jahe;2019;3325562;13473810;14100;3325562;1662781
Sulawesi Tengah;Jahe;2015;140306;669227;13900;140306;70153
Sulawesi Tengah;Jahe;2016;146614;486666;15100;146614;73307
Sulawesi Tengah;Jahe;2017;310506;963590;11200;310506;155253
Sulawesi Tengah;Jahe;2018;253970;934724;11800;253970;126985
Sulawesi Tengah;Jahe;2019;112399;299138;14600;112399;56200
Sulawesi Tenggara;Jahe;2015;7236735;23110153;11500;7236735;3618368
Sulawesi Tenggara;Jahe;2016;9391048;41129881;14400;9391048;4695524
Sulawesi Tenggara;Jahe;2017;1032270;10269;11400;1032270;516135
Sulawesi Tenggara;Jahe;2018;791216;1029982;11100;791216;395608
Sulawesi Tenggara;Jahe;2019;477760;1301275;12900;477760;238880
Sulawesi Utara;Jahe;2015;194895;528221;14300;194895;97448
Sulawesi Utara;Jahe;2016;328102;1239737;12800;328102;164051
Sulawesi Utara;Jahe;2017;580256;10269;10600;580256;290128
Sulawesi Utara;Jahe;2018;717180;1390689;12100;717180;358590
Sulawesi Utara;Jahe;2019;236839;623681;12500;236839;118420
Sumatera Barat;Jahe;2015;737533;2706979;14400;737533;368767
Sumatera Barat;Jahe;2016;633629;2959082;15200;633629;316815
Sumatera Barat;Jahe;2017;538103;10269;13000;538103;269052
Sumatera Barat;Jahe;2018;911126;3177549;13100;911126;455563
Sumatera Barat;Jahe;2019;1065579;4508462;11400;1065579;532790
Sumatera Selatan;Jahe;2015;1167693;2491881;11000;1167693;583847
Sumatera Selatan;Jahe;2016;1853492;2755441;15300;1853492;926746
Sumatera Selatan;Jahe;2017;1249299;10269;11300;1249299;624650
Sumatera Selatan;Jahe;2018;495618;852738;10700;495618;247809
Sumatera Selatan;Jahe;2019;784023;1348625;13400;784023;392012
Sumatera Utara;Jahe;2015;3090042;7669989;14600;3090042;1545021
Sumatera Utara;Jahe;2016;3114522;8400336;14100;3114522;1557261
Sumatera Utara;Jahe;2017;2498973;10269;11400;2498973;1249487
Sumatera Utara;Jahe;2018;2157182;5452774;13000;2157182;1078591
Sumatera Utara;Jahe;2019;1543463;2815186;10600;1543463;771732
