provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Kalimantan Timur;Kencur;2018;39192,00;66.518;11200;39.192;19.596
Kalimantan Timur;Kencur;2019;43278,00;62.457;14700;43.278;21.639
Kalimantan Utara;Kencur;2015;9763,00;13.051;14700;9.763;4.882
Kalimantan Utara;Kencur;2016;18203,00;20.346;15300;18.203;9.102
Kalimantan Utara;Kencur;2017;15382,00;32.023;12300;15.382;7.691
Kalimantan Utara;Kencur;2018;13925,00;23.497;11100;13.925;6.963
Kalimantan Utara;Kencur;2019;25519,00;43.727;13200;25.519;12.760
Kepulauan Bangka Belitung;Kencur;2015;71176,00;236.597;10800;71.176;35.588
Kepulauan Bangka Belitung;Kencur;2016;83998,00;131.527;10900;83.998;41.999
Kepulauan Bangka Belitung;Kencur;2017;55622,00;111.731;13100;55.622;27.811
Kepulauan Bangka Belitung;Kencur;2018;78637,00;148.391;13300;78.637;39.319
Kepulauan Bangka Belitung;Kencur;2019;102624,00;296.437;11100;102.624;51.312
Kepulauan Riau;Kencur;2015;2787,00;6.448;13600;2.787;1.394
Kepulauan Riau;Kencur;2016;2047,00;4.284;12400;2.047;1.024
Kepulauan Riau;Kencur;2017;2733,00;7.343;11500;2.733;1.367
Kepulauan Riau;Kencur;2018;3732,00;7.958;14500;3.732;1.866
Kepulauan Riau;Kencur;2019;6266,00;13.125;12700;6.266;3.133
Lampung;Kencur;2015;1391724,00;3.112.240;11000;1.391.724;695.862
Lampung;Kencur;2016;4212666,00;5.510.204;13600;4.212.666;2.106.333
Lampung;Kencur;2017;3216673,00;7.500.387;13700;3.216.673;1.608.337
Lampung;Kencur;2018;4158086,00;6.357.745;14500;4.158.086;2.079.043
Lampung;Kencur;2019;5231934,00;5.356.835;10800;5.231.934;2.615.967
Maluku;Kencur;2015;27051,00;56.818;14100;27.051;13.526
Maluku;Kencur;2016;12536,00;32.273;13600;12.536;6.268
Maluku;Kencur;2017;19328,00;55.045;15400;19.328;9.664
