provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Kalimantan Selatan;Lengkuas;2015;130683,00;185.476; IDR11.200 ;130.683;65.342
Kalimantan Selatan;Lengkuas;2016;131498,00;528.431; IDR11.500 ;131.498;65.749
Kalimantan Selatan;Lengkuas;2017;139992,00;228.083; IDR14.200 ;139.992;69.996
Kalimantan Selatan;Lengkuas;2018;230936,00;300.349; IDR15.300 ;230.936;115.468
Kalimantan Selatan;Lengkuas;2019;248289,00;468.871; IDR13.800 ;248.289;124.145
Kalimantan Tengah;Lengkuas;2015;127876,00;338.483; IDR13.200 ;127.876;63.938
Kalimantan Tengah;Lengkuas;2016;161920,00;344.455; IDR12.100 ;161.920;80.960
Kalimantan Tengah;Lengkuas;2017;138283,00;250.244; IDR15.300 ;138.283;69.142
Kalimantan Tengah;Lengkuas;2018;138345,00;223.374; IDR14.200 ;138.345;69.173
Kalimantan Tengah;Lengkuas;2019;161717,00;270.826; IDR13.300 ;161.717;80.859
Kalimantan Timur;Lengkuas;2015;43657,00;137.525; IDR11.300 ;43.657;21.829
Kalimantan Timur;Lengkuas;2016;60088,00;143.204; IDR15.400 ;60.088;30.044
Kalimantan Timur;Lengkuas;2017;53396,00;168.997; IDR14.800 ;53.396;26.698
Kalimantan Timur;Lengkuas;2018;75830,00;165.223; IDR10.500 ;75.830;37.915
Kalimantan Timur;Lengkuas;2019;80049,00;142.861; IDR12.300 ;80.049;40.025
Kalimantan Utara;Lengkuas;2015;68143,00;261.386; IDR12.300 ;68.143;34.072
Kalimantan Utara;Lengkuas;2016;30911,00;97.893; IDR14.100 ;30.911;15.456
Kalimantan Utara;Lengkuas;2017;55981,00;289.466; IDR11.800 ;55.981;27.991
Kalimantan Utara;Lengkuas;2018;113520,00;583.417; IDR12.300 ;113.520;56.760
Kalimantan Utara;Lengkuas;2019;165124,00;580.243; IDR13.000 ;165.124;82.562
Kepulauan Bangka Belitung;Lengkuas;2015;145755,00;889.342; IDR12.600 ;145.755;72.878
Kepulauan Bangka Belitung;Lengkuas;2016;279558,00;677.376; IDR12.500 ;279.558;139.779
Kepulauan Bangka Belitung;Lengkuas;2017;82364,00;319.898; IDR14.600 ;82.364;41.182
Kepulauan Bangka Belitung;Lengkuas;2018;114576,00;383.062; IDR14.600 ;114.576;57.288
Kepulauan Bangka Belitung;Lengkuas;2019;114008,00;422.316; IDR13.800 ;114.008;57.004
Kepulauan Riau;Lengkuas;2015;31283,00;82.809; IDR15.300 ;31.283;15.642
Kepulauan Riau;Lengkuas;2016;72211,00;237.571; IDR13.400 ;72.211;36.106
Kepulauan Riau;Lengkuas;2017;103084,00;311.179; IDR14.000 ;103.084;51.542
Kepulauan Riau;Lengkuas;2018;99304,00;168.737; IDR14.300 ;99.304;49.652
Kepulauan Riau;Lengkuas;2019;73835,00;116.371; IDR15.300 ;73.835;36.918
Lampung;Lengkuas;2015;461971,00;1.204.900; IDR13.000 ;461.971;230.986
Lampung;Lengkuas;2016;434529,00;987.452; IDR15.000 ;434.529;217.265
Lampung;Lengkuas;2017;362456,00;868.608; IDR14.900 ;362.456;181.228
Lampung;Lengkuas;2018;523516,00;934.081; IDR14.100 ;523.516;261.758
Lampung;Lengkuas;2019;531036,00;860.202; IDR12.900 ;531.036;265.518
Maluku;Lengkuas;2015;465684,00;764.022; IDR11.300 ;465.684;232.842
Maluku;Lengkuas;2016;413812,00;349.121; IDR13.300 ;413.812;206.906
