,0,1,2
0,-1.3244820292876431,-1.3537314310913777,-1.401642440700036
1,-1.3428158006941269,-1.3904578075056904,-1.4108371746822743
2,-1.3794833435070946,-1.3996394016092684,-1.4292266426467508
3,-1.3886502292103364,-1.4180025898164248,-1.4292266426467508
4,-1.4069840006168202,-1.4180025898164248,-1.3740582387533213
5,-1.4069840006168202,-1.362913025194956,-1.3832529727355596
6,-1.351982686397369,-1.372094619298534,-1.364863504771083
7,-1.3611495721006108,-1.3537314310913777,-1.2729161649487006
8,-1.3428158006941269,-1.2619154900555962,-1.2545266969842241
9,-1.251146943661708,-1.24355230184844,-1.2637214309664624
10,-1.2328131722552242,-1.252733895952018,-1.245331963001986
11,-1.241980057958466,-1.2343707077448618,-1.3188898348598919
12,-1.2236462865519824,-1.3078234605734869,-1.3832529727355596
13,-1.2969813721779175,-1.372094619298534,-1.4292266426467508
14,-1.3611495721006108,-1.4180025898164248,-1.4476161106112273
15,-1.4069840006168202,-1.436365778023581,-1.438421376628989
16,-1.425317772023304,-1.4271841839200028,-1.4476161106112273
17,-1.416150886320062,-1.436365778023581,-1.4476161106112273
18,-1.425317772023304,-1.436365778023581,-1.438421376628989
19,-1.425317772023304,-1.4271841839200028,-1.3924477067177978
20,-1.416150886320062,-1.3812762134021122,-1.3372793028243684
21,-1.3703164578038527,-1.3261866487806433,-1.3464740368066066
22,-1.3153151435844013,-1.3353682428842215,-1.3740582387533213
23,-1.3244820292876431,-1.362913025194956,-1.4108371746822743
24,-1.351982686397369,-1.3996394016092684,-1.3924477067177978
25,-1.3886502292103364,-1.3812762134021122,-1.401642440700036
26,-1.3703164578038527,-1.3904578075056904,-1.4108371746822743
27,-1.3794833435070946,-1.3996394016092684,-1.364863504771083
28,-1.3886502292103364,-1.3537314310913777,-1.3464740368066066
29,-1.3428158006941269,-1.3353682428842215,-1.3464740368066066
30,-1.3244820292876431,-1.3353682428842215,-1.364863504771083
31,-1.3244820292876431,-1.3537314310913777,-1.3832529727355596
32,-1.3428158006941269,-1.372094619298534,-1.401642440700036
33,-1.3611495721006108,-1.3904578075056904,-1.401642440700036
34,-1.3794833435070946,-1.3904578075056904,-1.401642440700036
35,-1.3794833435070946,-1.3904578075056904,-1.4108371746822743
