,Xt
0,0.012232415902140678
1,0.006116207951070346
2,0.006116207951070346
3,0.024464831804281356
4,0.021406727828746183
5,0.027522935779816515
6,0.058103975535168204
7,0.06422018348623855
8,0.06116207951070336
9,0.06727828746177371
10,0.042813455657492366
11,0.021406727828746183
12,0.006116207951070346
13,0.0
14,0.003058103975535173
15,0.0
16,0.0
17,0.003058103975535173
18,0.01834862385321101
19,0.03669724770642202
20,0.03363914373088686
21,0.024464831804281356
22,0.012232415902140678
23,0.01834862385321101
24,0.015290519877675851
25,0.012232415902140678
26,0.027522935779816515
27,0.03363914373088686
28,0.03363914373088686
29,0.027522935779816515
30,0.021406727828746183
31,0.015290519877675851
32,0.015290519877675851
33,0.015290519877675851
34,0.012232415902140678
35,0.012232415902140678
36,0.012232415902140678
37,0.021406727828746183
38,0.027522935779816515
39,0.03608562691131499
40,0.043425076452599395
41,0.07155963302752295
42,0.054434250764526
43,0.07645259938837921
44,0.06422018348623855
45,0.06299694189602446
46,0.026299694189602457
47,0.018960244648318053
48,0.02996941896024466
49,0.03363914373088686
50,0.040978593272171265
51,0.03730886850152906
52,0.03241590214067279
53,0.03853211009174312
54,0.06788990825688075
55,0.04464831804281347
56,0.03730886850152906
57,0.058103975535168204
58,0.07522935779816516
59,0.08256880733944956
60,0.09235474006116208
61,0.10091743119266057
62,0.09480122324159022
63,0.1363914373088685
64,0.12048929663608564
65,0.11559633027522938
66,0.13027522935779817
67,0.14128440366972478
68,0.17737003058103978
69,0.1743119266055046
70,0.15718654434250767
71,0.1657492354740061
72,0.19877675840978598
73,0.23853211009174313
74,0.2446483180428135
75,0.27522935779816515
76,0.28746177370030584
77,0.2140672782874618
78,0.20795107033639149
79,0.27217125382263
80,0.2232415902140673
81,0.20795107033639149
82,0.2048929663608563
83,0.1694189602446483
84,0.06299694189602446
85,0.04831804281345567
86,0.043425076452599395
87,0.04954128440366973
88,0.03730886850152906
89,0.04464831804281347
90,0.08623853211009176
91,0.1474006116207951
92,0.16085626911314987
93,0.20795107033639149
94,0.235474006116208
95,0.29969418960244654
96,0.30581039755351686
97,0.30581039755351686
98,0.3639143730886851
99,0.3700305810397554
100,0.3944954128440367
101,0.3914373088685016
102,0.4067278287461774
103,0.3761467889908257
104,0.43730886850152906
105,0.4954128440366973
106,0.4862385321100918
107,0.5963302752293579
108,0.5657492354740061
109,0.489296636085627
110,0.525993883792049
111,0.5045871559633028
112,0.5107033639143731
113,0.5902140672782875
114,0.6085626911314985
115,0.5902140672782875
116,0.6330275229357799
117,0.706422018348624
118,0.6758409785932722
119,0.5474006116207951
120,0.5718654434250765
121,0.5045871559633028
122,0.4923547400611621
123,0.5168195718654435
124,0.5535168195718655
125,0.5229357798165138
126,0.5229357798165138
127,0.507645259938838
128,0.5229357798165138
129,0.5902140672782875
130,0.5902140672782875
131,0.6207951070336392
132,0.6269113149847095
133,0.6452599388379205
134,0.6452599388379205
135,0.6697247706422019
136,0.8226299694189603
137,0.8409785932721713
138,0.8287461773700306
139,0.8287461773700306
140,0.8287461773700306
141,0.724770642201835
142,0.724770642201835
143,0.7920489296636086
144,0.743119266055046
145,0.743119266055046
146,0.7370030581039756
147,0.7828746177370032
148,0.8073394495412844
149,0.8226299694189603
150,0.7920489296636086
151,0.7645259938837922
152,0.7492354740061162
153,0.7951070336391438
154,0.7706422018348624
155,0.7859327217125383
156,0.7645259938837922
157,0.7492354740061162
158,0.7553516819571866
159,0.853211009174312
160,0.834862385321101
161,0.8409785932721713
162,0.7553516819571866
163,0.8226299694189603
164,0.7339449541284404
165,0.6758409785932722
166,0.5779816513761469
167,0.6024464831804281
168,0.6055045871559633
169,0.525993883792049
170,0.562691131498471
171,0.6880733944954129
172,0.7920489296636086
173,0.8134556574923548
174,0.8012232415902142
175,0.7767584097859328
